,name,description,longitude,latitude,category,country
134230,Anand Mahal,,75.7196856,16.8264006,Tourist Attraction,India
134231,Anandagiri Gudda,,75.2582823,13.6995117,Natural Landmark,India
134232,Anandamayee Ghat,,83.0069269,25.2925757,Tourist Attraction,India
134233,Anandapuram Hill,,83.3700171,17.898009,Natural Landmark,India
134234,Anandbag Palace,,85.8995915,26.1707701,Castle,India
134235,Anandeshwar Temple,,77.2350993,20.8640205,Historical Ruins,India
134236,Anangtal,Remnants of a water tank,77.1832682,28.5272343,Historical Ruins,India
134237,Ananteshwara temple,Monuments of National Importance. N-GJ-189.,71.1680655,22.2245849,Monument,India
134238,Anapa Konda,,81.7701673,17.5648904,Natural Landmark,India
134239,Anappara,,76.7945946,9.2671633,Natural Landmark,India
134240,Anayirankai dam view,,77.201459,10.0104325,Scenic View,India
134241,Ancestral Goa,,73.98668,15.339748,Museum,India
134242,Anchleshwar temple,,79.3030908,19.9459785,Tourist Attraction,India
134243,Anchurli Hill Top,,77.0729693,9.777723,Tourist Attraction,India
134244,Anchuruli,,77.0750624,9.7668612,Tourist Attraction,India
134245,Anchuruli Thuruthu Island,,77.0634055,9.7664118,Tourist Attraction,India
134246,Anchuruli Tunnel,,77.074781,9.771356,Tourist Attraction,India
134247,Ancient Mosque,,75.7204467,16.8279436,Tourist Attraction,India
134248,Ancient Mound,"Ancient Mound, Intwa, Junagadh. Monument of national importance. N-GJ-137.",70.4913691,21.551455,Monument,India
134249,Ancient horse stable,,77.1863,28.5187402,Tourist Attraction,India
134250,Ancient site of Sandhiyapura,,73.475877,22.3313359,Monument,India
134251,Ancient wall,,77.7617144,33.6268558,Tourist Attraction,India
134252,Anderson Island,,92.71667,12.76667,Natural Landmark,India
134253,Andhra Pradesh Forest Department tourist place,,79.4669017,13.7521798,Tourist Attraction,India
134254,Anegundi Fort,,76.4821316,15.3538608,Scenic View,India
134255,Angarsha Pir,,71.7971414,21.4848505,Monument,India
134256,Angdu Ri,,77.5692911,32.1871911,Natural Landmark,India
134257,Anghai Fort,,73.3366075,18.6115639,Other,India
134258,Anginda,,76.4583796,11.187472,Natural Landmark,India
134259,Angola,,93.628385,25.5059995,Natural Landmark,India
134260,Angori Bagh,,78.0230568,27.1784181,Tourist Attraction,India
134261,Angtung,,78.2981872,34.1093973,Natural Landmark,India
134262,Anjanadri Hills Sunset Point,,76.4685076,15.3553637,Scenic View,India
134263,Anjengo Fort,,76.756399,8.6724346,Castle,India
134264,Anjuna Hill,,73.7378096,15.5877588,Natural Landmark,India
134265,Anjuna Seafront,,73.7373,15.5843485,Scenic View,India
134266,Anjuna Valley Viewpoint,,73.7473331,15.5934748,Scenic View,India
134267,Annai Maniammai Statue,,80.2628411,13.0800561,Monument,India
134268,Annamanada Junct.,,76.3267756,10.2385297,Tourist Attraction,India
134269,Annapara view point,,76.9116207,9.0444074,Scenic View,India
134270,Annavasal,,78.7241649,10.4505907,Natural Landmark,India
134271,Anor,,75.7297226,32.7535285,Natural Landmark,India
134272,Antaragange,,78.0978427,13.1493543,Natural Landmark,India
134273,Antop Hill,,72.8652556,19.0207608,Natural Landmark,India
134274,Anupam estate,,72.6351968,23.0155534,Tourist Attraction,India
134275,Anupu Amphitheatre,,79.2794939,16.5029095,Archaeological Site,India
134276,Anwin's Home,,76.3480767,10.030699,Tourist Attraction,India
134277,Apaulogy,,77.6184011,13.0017229,Art Gallery,India
134278,Apharwat,,74.3369937,34.02044,Natural Landmark,India
134279,Apollo Tyre circle,,73.2549441,22.3233362,Monument,India
134280,Apsarakonda Hilltop Viewpoint,,74.4453456,14.2307078,Scenic View,India
134281,Apsarasas Kangri I,,77.1498659,35.5392695,Natural Landmark,India
