Name,URL
Chamunda Mandir,Error
Hyagrib Bhairab Mandir,Error
Sapta Patal Pokhari,Error
Agnishala,"https://www.google.com/maps/place/Agnishaal/@27.6725803,85.3187607,17z/data=!4m7!3m6!1s0x39eb19cfacbeef2d:0x556e39187761278a!8m2!3d27.6725803!4d85.3213356!10e1!16s%2Fg%2F11cn3ddkg1?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Uperdangadi Chitwan,"https://www.google.com/maps/place/Uppardang+Gadi+(Chitwan)/@27.7618368,84.5803153,17z/data=!4m7!3m6!1s0x3994e140d4cf28c9:0x1a006a6db90252df!8m2!3d27.7618368!4d84.5828902!10e1!16s%2Fg%2F11fk0psrmt?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Machchhindranath Ko Aama,Error
Doleshwar Mahadev Temple,"https://www.google.com/maps/place/Doleshwar+Mahadev+Temple/@27.6388668,85.4358342,17z/data=!4m8!3m7!1s0x39eb102067c08f1d:0x53d813e833fbae4!8m2!3d27.6388668!4d85.4384091!9m1!1b1!16s%2Fm%2F0ll0t_h?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Jai Manohar Mahabihar,Error
Mani Mandap Mahabihar,Error
Bikram Baba Temple,Error
Lumbini Museum,"https://www.google.com/maps/place/Lumbini+Museum/@27.4891667,83.2746473,17z/data=!4m7!3m6!1s0x399693669ccbbfed:0x1053fc6bfc44421b!8m2!3d27.4891667!4d83.2772222!10e1!16s%2Fm%2F04cdb7y?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Tal Barahi Temple,"https://www.google.com/maps/place/Tal+Barahi+Temple,+Pokhara/@28.207418,83.9508502,17z/data=!4m8!3m7!1s0x3995951f515b5711:0xe7224ee045a0256a!8m2!3d28.207418!4d83.9534251!9m1!1b1!16s%2Fm%2F0131_0ws?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Elephant Breeding Center,"https://www.google.com/maps/place/Elephant+Breeding+Center/@27.5819444,84.4604807,17z/data=!4m7!3m6!1s0x3994efb4ebeb6067:0x263facb8fc046bcf!8m2!3d27.5819444!4d84.4630556!10e1!16s%2Fg%2F1ts1l15j?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Mani Chaitya,Error
kusunti Kumar Mandir,Error
Dattanam Mahabihar,Error
Ashok Stupa Ibahi,Error
Patan Museum,"https://www.google.com/maps/place/Patan+Museum/@27.6733773,85.3227612,17z/data=!4m8!3m7!1s0x39eb19c5a747fba5:0x8422c2c36932c5b!8m2!3d27.6733773!4d85.3253361!9m1!1b1!16s%2Fm%2F04cdb88?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Bhai Dega ,Error
Bhat Bhateni Temple,Error
Bishwonath Mandir,Error
Jalbinayak Mandir,Error
Purnachandi Mandir,"https://www.google.com/maps/place/Shree+Purnachandi+Temple/@27.6735749,85.3176612,17z/data=!4m7!3m6!1s0x39eb19cef3984713:0x2cc941162e32cc3!8m2!3d27.6735749!4d85.3202361!10e1!16s%2Fg%2F11r9fb61q?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Krishna Mandir,Error
Gunalakshmi Mahabihar,Error
Pimbahal Pokhari,Error
Degu Taleju Mandir,"https://www.google.com/maps/place/Taleju+Bhawani+Temple/@27.7049154,85.3054718,17z/data=!4m7!3m6!1s0x39eb1856025cc86b:0x25c94a661e5bf981!8m2!3d27.7049154!4d85.3080467!10e1!16s%2Fg%2F1tdvhl5v?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Bhringeshwor Mahadev Mandir,Error
Ashok Stupa Pulchowk,"https://www.google.com/maps/place/Ashok+Stupa+West+(Pucho:+Thur)/@27.6771339,85.3134413,17z/data=!4m7!3m6!1s0x39eb19cb7436e0e7:0x9d1d4a2e7b06c94!8m2!3d27.6771339!4d85.3160162!10e1!16s%2Fm%2F0472hht?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Kumarighar,"https://www.google.com/maps/place/Kumari+Ghar/@27.7037217,85.3038968,17z/data=!4m7!3m6!1s0x39eb18563743a4cf:0x13f814dd7f12d7ad!8m2!3d27.7037217!4d85.3064717!10e1!16s%2Fg%2F1vd6_r8z?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Basuki Nag Mandir,Error
Chandeshwori Temple,Error
Phatak,Error
Mahalakshmi Sthan,Error
	Chapat Ganesh Mandir,Error
Rudrayani Mandir,Error
Bouddha ,Error
Minnath Mandir,Error
Bangalamukhi Mandir,Error
Harishankar Mandir,Error
Uttare Pokhari (North Pond),Error
Sat Tale Waterfall,"https://www.google.com/maps/place/Sat+Tale+Waterfall+(lower+end)/@28.2023623,82.3129975,17z/data=!4m7!3m6!1s0x3997f1cd9bb60c4f:0xee952a4a8918b122!8m2!3d28.2023623!4d82.3155724!10e1!16s%2Fg%2F11jy5rsv9x?hl=en&entry=ttu&g_ep=EgoyMDI0MTIxMS4wIKXMDSoASAFQAw%3D%3D"
Ratna Park,Error
Tareveer,Error
Mani Ganesh Mandir,Error
kan Dewata Mandir,Error
Yashodhara Mahabihar,Error
